Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Madagascar,12.13131,13.32438,15.31081,15.84255,17.39493,16.73267,16.57493,16.49548,13.67605,12.11832,12.25483,12,18.94942
Malawi,5.25691,5.34923,5.41184,5.43301,6.26331,6.78595,6.96022,7.18778,7.20941,6.05932,6.05932,6,12.42727
Mali,3.8406,3.85112,4.20151,4.24093,4.36929,4.8597,4.40244,4.5074,4.56762,4.69814,4.69814,5,5.20281
Mauritania,23.76278,23.73696,22.74501,23.29956,19.95896,23.51874,20.61433,18.70425,12.88159,12.80502,12.80502,12,17.96813
Mauritius,19.87986,21.74671,19.78818,20.54994,21.37783,21.8909,22.20038,23.02085,22.76545,20.62429,21.00224,22,25.0251
Morocco,158.4797,161.22382,164.28099,167.06915,170.29291,174.13843,180.78644,183.18371,215.68674,235.25636,243.91549,240,206.16252
Mozambique,7.81249,9.36707,10.64647,11.18921,13.32437,13.37901,13.58921,14.35236,13.22038,15.02153,16.14282,17,21.61413
Namibia,12.63063,15.05071,15.41704,16.63564,17.57861,17.74545,19.11729,20.11353,20.38584,21.98934,20.81362,22,25.12295
Niger,4.97757,5.06858,5.29926,5.40477,5.41167,5.42521,5.36732,5.4431,3.32973,5.13559,5.13021,5,5.68599
Nigeria,245.56514,305.68901,303.94651,288.47458,277.07379,311.62722,284.46655,268.94167,269.13,242.50152,242.19894,240,269.88735
Reunion,17.72478,18.53471,18.49175,18.49962,18.81831,19.20378,19.43551,19.73893,19.89942,20.51167,20.51167,20,19.51607
Rwanda,5.18773,5.24192,5.26529,5.32734,5.16481,5.49677,5.62323,5.12532,5.09842,5.30188,5.27597,5.5,5.27222
Saint Helena,0.15511,0.08542,0.08542,0.08542,0.06407,0.08542,0.07973,0.08468,0.06605,0.06312,0.06312,0.1,0.08
Sao Tome and Principe,0.61404,0.61573,0.63616,0.63616,0.63443,0.65953,0.72553,0.88904,0.88904,0.88373,0.88904,0.9,0.91738
Senegal,29.55074,29.444,30.05438,30.32227,33.84846,36.18445,37.15448,37.68342,26.06984,36.16281,36.64975,38,42.12175
Seychelles,3.8365,3.95178,5.72485,5.54297,5.79992,5.7191,5.9174,6.29871,6.92322,7.45728,6.31621,8,8.39156
Sierra Leone,6.14855,6.29258,6.40399,6.55337,7.79347,7.76391,7.84269,8.39836,9.97427,9.37277,9.37277,10,9.13133
Somalia,4.8,4.8,4.8,4.8,4.8,4.85773,5.11005,5.76107,5.46197,5.39948,5.39948,5,5.63651
South Africa,457.92609,458.2411,475.44208,490.2106,503.91002,536.62699,550.62859,560.83544,526.93515,532.60886,549.41259,595,608.82289
Sudan and South Sudan,43.10575,55.98863,58.29697,65.42314,71.21046,76.59927,87.42005,85.11115,94.19003,125.28813,130.75225,132,94.85287
Swaziland,3.53,3.53,3.53,3.53,3.53,3.53,3.93067,4.68644,4.89757,4.76122,4.76122,4.8,4.53827
Tanzania,16.16798,18.94756,21.72647,23.21052,24.80221,26.75644,28.06586,30.25822,32.67786,34.44025,30.74937,35,47.63991
Togo,9.46634,6.8174,8.80192,14.19951,15.12858,14.93321,15.56882,16.73826,8.82499,9.21844,9.77312,10,11.22825
Tunisia,84.54766,87.22116,87.86296,87.65918,89.39993,89.93405,88.32429,88.43608,91.69036,87.12702,87.65187,93,89.27796
Uganda,8.5609,9.52222,9.92975,10.6866,10.87421,11.38992,12.87863,13.90022,23.9497,22.16103,22.98877,23,17.22651
Western Sahara,1.67716,1.70219,1.70219,1.70219,1.69754,1.92466,1.70219,1.80197,1.70219,1.70219,1.70219,1.7,1.99031
Zambia,10.74075,11.76068,12.18905,12.7373,13.27364,14.0741,14.54259,14.80088,11.86118,12.96497,14.43357,17,20.20629
Zimbabwe,25.34623,23.45882,22.3206,20.40756,13.37478,15.8046,13.83373,13.27142,12.65074,12.49786,13.29304,14,20.97497
Afghanistan,4.72478,4.69249,4.78504,3.81301,4.11989,4.44085,4.40441,4.51211,4.97575,36.25321,36.25321,36,36
American Samoa,3.7441,3.75436,3.81732,3.81732,3.80689,4.0657,4.14,4.44,2.697,4.14,2.00315,3,4.04089
Australia,872.429,871.0681,882.4226,888.0264,912.8835,954.848,962.0318,976.4434,1054.716,1041.8184,1059.7344,1104.5542,1126.0733
Bangladesh,68.79917,81.2547,82.77266,83.86589,84.63662,86.76301,90.77417,90.75742,94.07282,100.72684,107.89172,110,113.63908
Bhutan,0.97975,1.04742,1.0883,1.12992,1.13814,1.15184,1.16811,1.54893,1.59003,1.99597,1.99819,2,1.74393
Brunei,12.04709,11.59219,11.46987,12.93968,12.95353,14.02728,14.09169,14.67463,16.34115,15.46687,16.28344,16,14.8531
Burma (Myanmar),36.74748,33.65115,34.52114,35.96662,40.29008,42.99365,40.01023,39.77258,29.15551,26.51126,26.69494,27,27.3621
Cambodia,17.45619,20.47167,21.9406,23.73658,26.46307,28.01786,30.9749,33.20205,34.33825,32.29795,26.25466,33,43.33085
China,4795.71476,4917.88185,5160.71446,5578.11051,6437.48377,6695.44375,7263.32828,7534.08151,7467.51975,8539.72543,9330.17597,9852.08038,10276.82554
Cook Islands,0.38721,0.38827,0.38827,0.38827,0.42926,0.47553,0.49496,0.4643,0.48474,0.48474,0.48474,0.5,1.00883
Fiji,9.32773,10.10764,12.19523,15.71815,17.1846,17.00136,17.88718,16.9969,14.36731,9.4373,9.21315,9,10.12267
French Polynesia,4.57628,4.58882,4.82458,5.73433,5.67751,6.27107,6.70126,6.61132,7.2463,6.99396,7.19047,7,7
Guam,18.58219,20.21118,13.65803,15.39726,12.12568,13.52603,14.2274,12.71233,11,6.81918,6.57882,8,12.64321
Hawaiian Trade Zone,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,244.9176,245.38485,272.63485,276.58474,318.15318,331.30041,318.48151,327.52619,295.95248,353.26858,382.54781,365,289.57271
India,2127.43846,2183.73028,2263.43936,2346.32825,2429.61612,2512.43088,2690.89808,2800.75422,2863.99804,3112.73607,3255.39117,3410.54441,3621.75052
Indonesia,1036.70413,1077.00463,1125.64997,1142.67293,1232.57245,1279.14978,1256.49156,1226.94285,1229.26874,1300.88929,1384.36271,1384,1384
Japan,5515.4262,5411.9534,5318.7589,5428.4137,5318.765,5327.9452,5197.4,5037.0438,4798.1475,4389.8822,4455.4356,4471.1616,4714.8033
Kiribati,0.16727,0.16773,0.21696,0.21696,0.21637,0.25912,0.26077,0.28414,0.26077,0.42036,0.42024,0.4,0.4
Korea, North,25.3785,22.51002,24.52539,24.52102,24.02019,18.61871,14.24945,16.68271,17.10027,13.33855,12.75164,14,14.9732
Korea, South,2135.3306,2132.0411,2149.1534,2175.3836,2155.1202,2191.337,2179.9041,2240.5096,2142.3088,2188.5014,2268.5699,2257.7288,2301.0355
Laos,2.72932,2.73679,2.85181,2.93852,2.89773,3.03595,3.08033,3.13364,3.18357,3.15988,3.15988,3,3.45657
Macau,10.11658,10.72567,11.72559,12.26068,15.03035,12.86071,15.07559,15.16611,8.28043,12.31775,10.08136,12,19.08851
Malaysia,465.02397,475.10421,462.74771,479.85719,508.03827,521.84874,534.41372,544.9369,669.09795,585.0898,598.3996,598,598
