Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
China,3271.8091,3353.64009,3776.82765,4235.69684,4744.9877,5463.70378,5936.03632,6326.36456,6684.65068,7573.37999,7997.04373,8715.30724
Cook Islands,0.05729,0.05729,0.05729,0.05728,0.06365,0.07001,0.07469,0.07011,0.09059,0.0731,0.0731,0.0754
Fiji,1.43383,1.52552,1.7632,2.28772,2.63907,2.52662,2.26991,2.49023,2.34417,1.35972,1.33105,1.44473
French Polynesia,0.67652,0.67654,0.69475,0.86066,0.85777,0.92131,1.02381,1.00913,0.99214,1.06349,1.09638,1.21982
Guam,2.87128,3.05507,2.09615,2.43267,1.96239,2.06358,2.25959,2.0496,1.77352,1.07054,0.90672,1.10259
Hawaiian Trade Zone,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,55.71562,60.25155,66.01416,70.00348,78.06931,80.46686,80.09784,84.12421,78.88333,89.55811,91.87274,92.90875
India,990.96774,1016.28487,1007.49483,1022.32432,1120.87657,1181.39759,1280.64642,1366.21314,1471.76923,1597.75246,1601.23599,1725.76176
Indonesia,266.20608,275.3219,285.81208,289.24595,313.94739,330.79493,355.51979,371.95977,370.19055,405.70127,414.54892,426.78954
Japan,1201.42927,1193.68892,1199.94533,1249.72008,1256.26116,1241.26229,1239.88936,1254.44044,1216.25207,1104.91381,1179.79865,1180.61513
Kiribati,0.02544,0.02544,0.03171,0.0317,0.03176,0.03807,0.03805,0.04138,0.04369,0.06237,0.06235,0.05934
Korea North,69.40393,71.10661,68.38722,69.97915,71.60173,74.66165,75.7157,62.93854,69.58386,66.62802,64.66897,65.96026
Korea South,438.65426,450.44829,467.99524,477.8473,485.90995,493.80074,484.21004,503.09967,521.77008,524.43921,581.09961,610.9538
Laos,0.84534,0.75619,0.94555,0.91574,1.15631,1.18612,1.25688,1.33051,1.41818,1.45311,1.42521,1.40443
Macau,1.57788,1.66013,1.83729,1.90244,2.32451,1.98224,2.303,2.30199,2.39395,1.79714,1.51678,1.80545
Malaysia,117.57432,125.41484,137.63802,144.65554,145.25779,147.60514,150.2426,166.64197,170.84802,175.4414,190.6754,191.44414
Maldives,0.48319,0.51815,0.95001,1.06798,0.75014,0.602,0.8265,0.93243,0.88832,1.0618,1.0616,1.07077
Mongolia,5.61684,5.73584,6.1257,5.83156,6.19244,6.2513,7.13271,7.37908,7.42255,7.81318,7.99235,10.21165
Nauru,0.1632,0.1632,0.1697,0.16968,0.17298,0.17615,0.17298,0.17647,0.18592,0.18149,0.18149,0.16876
Nepal,3.0982,3.24799,2.65605,2.79557,2.79026,3.22247,2.79354,2.91636,2.95019,3.27722,3.54378,3.17291
New Caledonia,1.99916,2.01096,2.29278,2.3799,2.54683,2.48388,2.96291,2.88422,3.18474,2.95339,2.95339,3.02639
New Zealand,35.83992,38.20021,37.48815,39.59535,40.06176,40.38699,40.76812,39.53562,40.73084,37.41837,37.02598,37.16929
Niue,0.00318,0.00318,0.00318,0.00318,0.00318,0.00413,0.00477,0.00509,0.00544,0.00345,0.00345,0.00305
Pakistan,108.14919,103.14854,102.60983,104.55507,109.05768,115.50873,129.92558,140.10869,138.77242,141.01884,141.8863,139.66443
Papua New Guinea,2.59959,2.5996,3.68903,4.2685,4.31183,4.23604,4.30007,4.32091,4.54869,3.23463,3.28344,3.27862
